County & State,FIPS,2017,2018,2019,2020,2021
"Polk County,  Florida",12105,144024,165658,173351,188884,201229
"Putnam County,  Florida",12107,91134,91366,95761,105525,112439
"St. Johns County,  Florida",12109,314396,321631,346861,354494,380762
"St. Lucie County,  Florida",12111,181356,196501,225903,238954,258763
"Santa Rosa County,  Florida",12113,188257,206893,220501,237145,254717
"Sarasota County,  Florida",12115,259826,269741,275461,290667,315131
"Seminole County,  Florida",12117,231233,257464,284344,290336,308647
"Sumter County,  Florida",12119,269637,273254,269737,296396,315814
"Suwannee County,  Florida",12121,112532,97485,100623,106471,113447
"Taylor County,  Florida",12123,101717,89572,87622,89444,95304
"Union County,  Florida",12125,106334,93898,110347,124444,132597
"Volusia County,  Florida",12127,170519,188262,205404,220890,237303
"Wakulla County,  Florida",12129,139505,140306,158572,150525,158441
"Walton County,  Florida",12131,206350,240443,270583,256666,273481
"Washington County,  Florida",12133,100744,108352,116055,118979,126773
"Appling County,  Georgia",13001,80918,75946,81130,84687,89447
"Atkinson County,  Georgia",13003,83268,65834,64241,66208,69929
"Bacon County,  Georgia",13005,70285,77105,78030,85638,90451
"Baker County,  Georgia",13007,79912,81503,77400,84797,89848
"Baldwin County,  Georgia",13009,113822,114604,120252,127031,134171
"Banks County,  Georgia",13011,136094,135777,152640,159554,168522
"Barrow County,  Georgia",13013,159825,170341,180004,193796,207226
"Bartow County,  Georgia",13015,163913,180143,189147,193796,207226
"Ben Hill County,  Georgia",13017,90543,85531,85620,88066,93016
"Berrien County,  Georgia",13019,94348,91325,91178,92924,98147
"Bibb County,  Georgia",13021,111589,123633,130793,133061,141367
"Bleckley County,  Georgia",13023,97481,104071,104646,108024,114095
"Brantley County,  Georgia",13025,76428,73226,69770,76663,80311
"Brooks County,  Georgia",13027,96573,94974,100285,111049,116787
"Bryan County,  Georgia",13029,230057,211177,222746,233503,246608
"Bulloch County,  Georgia",13031,149921,142623,156809,151318,159823
"Burke County,  Georgia",13033,88079,91741,93883,91938,98202
"Butts County,  Georgia",13035,147280,132330,129501,139508,149175
"Calhoun County,  Georgia",13037,63346,51614,52377,54381,57438
"Camden County,  Georgia",13039,169110,162742,170812,174972,184805
"Candler County,  Georgia",13043,99608,93326,97485,101477,107180
"Carroll County,  Georgia",13045,142344,144638,152466,162759,174038
"Catoosa County,  Georgia",13047,149454,145614,151832,174200,186108
"Charlton County,  Georgia",13049,91773,86585,88292,87961,92904
"Chatham County,  Georgia",13051,192879,201545,224429,209829,221605
"Chattahoochee County,  Georgia",13053,66197,84209,74754,74788,78270
"Chattooga County,  Georgia",13055,71517,72154,74396,76240,80525
"Cherokee County,  Georgia",13057,253359,273483,280691,303214,324226
"Clarke County,  Georgia",13059,171316,182493,210130,206972,221451
"Clay County,  Georgia",13061,77672,63095,70441,75395,79632
"Clayton County,  Georgia",13063,103523,112725,124078,151081,161550
"Clinch County,  Georgia",13065,64913,66466,61035,64413,68033
"Cobb County,  Georgia",13067,254609,276968,296320,298059,318714
"Coffee County,  Georgia",13069,93341,92273,98981,106229,112199
"Colquitt County,  Georgia",13071,89088,89008,88933,90390,95470
"Columbia County,  Georgia",13073,197070,213179,232304,246895,263718
"Cook County,  Georgia",13075,96250,92484,94171,92396,97589
"Coweta County,  Georgia",13077,212723,232858,248475,243245,260101
"Crawford County,  Georgia",13079,90989,98253,96972,97093,103154
"Crisp County,  Georgia",13081,109904,88376,91071,87749,92681
"Dade County,  Georgia",13083,134860,129353,135187,131022,139977
"Dawson County,  Georgia",13085,243483,220333,229125,242298,259088
"Decatur County,  Georgia",13087,128036,115658,117259,117105,123687
